NUM:  56 TELEM BORBA           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2031  0.32  0.31  0.31  0.23  0.21  0.21  0.21  0.21  0.21  0.22  0.26  0.32
2032  0.32  0.31  0.32  0.23  0.22  0.22  0.22  0.22  0.22  0.22  0.27  0.32
2033  0.33  0.32  0.32  0.23  0.22  0.22  0.22  0.22  0.22  0.22  0.27  0.33
2034  0.33  0.32  0.32  0.24  0.22  0.22  0.22  0.22  0.22  0.22  0.27  0.33
2035  0.33  0.33  0.33  0.24  0.22  0.22  0.22  0.22  0.22  0.22  0.27  0.33
2036  0.33  0.33  0.33  0.24  0.22  0.22  0.22  0.22  0.22  0.22  0.28  0.34
2037  0.34  0.33  0.33  0.24  0.22  0.22  0.22  0.22  0.22  0.23  0.28  0.34
2038  0.34  0.34  0.34  0.24  0.23  0.23  0.23  0.23  0.23  0.23  0.28  0.34
2039  0.35  0.34  0.34  0.25  0.23  0.23  0.23  0.23  0.23  0.23  0.28  0.35
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  92 ITA                   Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   1.7  1.66  1.73  1.55  1.47  1.47  1.47  1.47  1.48  1.48  1.67  1.84
2026  1.73  1.68  1.76  1.57  1.48  1.49  1.49  1.49  1.49  1.49  1.69  1.86
2027  1.75   1.7  1.78  1.59   1.5   1.5   1.5   1.5  1.51  1.51  1.72  1.89
2028  1.77  1.71  1.81  1.61  1.52  1.52  1.52  1.52  1.52  1.52  1.74  1.92
2029  1.79  1.74  1.83  1.63  1.53  1.53  1.53  1.54  1.54  1.54  1.76  1.94
2030  1.82  1.77  1.85  1.65  1.55  1.55  1.55  1.55  1.56  1.56  1.78  1.97
2031  1.84  1.79  1.88  1.66  1.57  1.57  1.57  1.57  1.57  1.57  1.81     2
2032  1.86   1.8   1.9  1.69  1.58  1.58  1.59  1.59  1.59  1.59  1.83  2.03
2033  1.89  1.84  1.93  1.71   1.6   1.6   1.6  1.61  1.61  1.61  1.85  2.06
2034  1.92  1.86  1.96  1.73  1.62  1.62  1.62  1.62  1.63  1.63  1.88  2.09
2035  1.94  1.88  1.98  1.75  1.64  1.64  1.64  1.64  1.65  1.65   1.9  2.11
2036  1.96   1.9  2.01  1.77  1.66  1.66  1.66  1.66  1.66  1.66  1.93  2.14
2037  1.99  1.93  2.03  1.79  1.67  1.67  1.68  1.68  1.68  1.68  1.95  2.17
2038  2.02  1.96  2.06  1.81  1.69  1.69  1.69   1.7   1.7   1.7  1.97   2.2
2039  2.04  1.98  2.09  1.83  1.71  1.71  1.71  1.71  1.72  1.72     2  2.23
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  93 PASSO FUNDO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.91  0.89   0.8  0.67  0.67  0.67  0.67  0.67  0.67  0.68  0.77  0.87
2026  0.92   0.9  0.81  0.67  0.67  0.67  0.67  0.67  0.67  0.68  0.78  0.87
2027  0.93  0.91  0.82  0.68  0.67  0.67  0.67  0.67  0.67  0.68  0.78  0.88
2028  0.94  0.91  0.82  0.68  0.67  0.67  0.67  0.67  0.67  0.69  0.79  0.89
2029  0.95  0.93  0.83  0.68  0.68  0.68  0.68  0.68  0.68  0.69  0.79   0.9
2030  0.96  0.94  0.84  0.69  0.68  0.68  0.68  0.68  0.68  0.69   0.8  0.91
2031  0.97  0.95  0.84  0.69  0.68  0.68  0.68  0.68  0.68  0.69   0.8  0.91
2032  0.98  0.95  0.85  0.69  0.68  0.68  0.68  0.68  0.68   0.7  0.81  0.92
2033  0.99  0.97  0.86  0.69  0.69  0.69  0.69  0.69  0.69   0.7  0.81  0.93
2034     1  0.98  0.86  0.69  0.69  0.69  0.69  0.69  0.69   0.7  0.82  0.94
2035  1.01  0.99  0.87   0.7  0.69  0.69  0.69  0.69  0.69   0.7  0.82  0.94
2036  1.01  0.98  0.87   0.7  0.69  0.69  0.69  0.69  0.69  0.71  0.83  0.95
2037  1.03     1  0.88   0.7  0.69  0.69  0.69  0.69  0.69  0.71  0.83  0.96
2038  1.04  1.01  0.88   0.7  0.69  0.69  0.69  0.69  0.69  0.71  0.84  0.97
2039  1.05  1.02  0.89   0.7  0.69  0.69  0.69  0.69  0.69  0.71  0.84  0.97
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  94 MONJOLINHO            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   0.2  0.19  0.16  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.14  0.17
2026   0.2  0.19  0.16  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.14  0.17
2027   0.2  0.19  0.16  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.14  0.17
2028   0.2  0.19  0.16  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.14  0.18
2029  0.21   0.2  0.17  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.14  0.18
2030  0.21   0.2  0.17  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.15  0.18
2031  0.21   0.2  0.17  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.15  0.18
2032  0.21   0.2  0.17   0.1  0.09  0.09  0.09  0.09  0.09  0.09  0.15  0.19
2033  0.22  0.21  0.18   0.1  0.09  0.09  0.09  0.09  0.09   0.1  0.15  0.19
2034  0.23  0.21  0.18   0.1  0.09  0.09   0.1   0.1   0.1   0.1  0.16  0.19
2035  0.23  0.22  0.18   0.1   0.1   0.1   0.1   0.1   0.1   0.1  0.16  0.19
2036  0.23  0.22  0.18   0.1   0.1   0.1   0.1   0.1   0.1   0.1  0.16   0.2
2037  0.24  0.22  0.19   0.1   0.1   0.1   0.1   0.1   0.1   0.1  0.16   0.2
2038  0.24  0.23  0.19   0.1   0.1   0.1   0.1   0.1   0.1   0.1  0.16   0.2
2039  0.24  0.23  0.19   0.1   0.1   0.1   0.1   0.1   0.1   0.1  0.17  0.21
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  95 QUEBRA QUEIX          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.18  0.16  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.17   0.2
2026  0.18  0.16  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.17   0.2
2027  0.18  0.16  0.17  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.18  0.21
2028  0.19  0.17  0.17  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.18  0.21
2029  0.19  0.17  0.17  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.18  0.21
2030  0.19  0.17  0.17  0.16  0.15  0.15  0.15  0.15  0.15  0.15  0.19  0.22
2031   0.2  0.18  0.18  0.16  0.16  0.16  0.16  0.16  0.16  0.16  0.19  0.22
2032   0.2  0.18  0.18  0.16  0.16  0.16  0.16  0.16  0.16  0.16  0.19  0.23
2033  0.21  0.18  0.18  0.16  0.16  0.16  0.16  0.16  0.16  0.16   0.2  0.23
2034  0.21  0.19  0.19  0.17  0.16  0.16  0.16  0.16  0.16  0.16   0.2  0.24
2035  0.21  0.19  0.19  0.17  0.17  0.17  0.17  0.17  0.17  0.17   0.2  0.24
2036  0.22  0.19  0.19  0.17  0.17  0.17  0.17  0.17  0.17  0.17  0.21  0.24
2037  0.22  0.19   0.2  0.17  0.17  0.17  0.17  0.17  0.17  0.17  0.21  0.25
2038  0.22   0.2   0.2  0.18  0.17  0.17  0.17  0.17  0.17  0.17  0.21  0.25
2039  0.23   0.2   0.2  0.18  0.18  0.18  0.18  0.18  0.18  0.18  0.22  0.26
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  97 CASTRO ALVES          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 18.24 18.19 18.19 18.11 18.09 18.09 18.09 18.09 18.09  18.1 18.67 18.48
2026 18.25  18.2 18.19 18.12 18.09 18.09 18.09 18.09  18.1 18.11  18.7  18.5
2027 18.26  18.2  18.2 18.12  18.1  18.1  18.1  18.1  18.1 18.11 18.72 18.51
2028 18.26 18.21 18.21 18.13  18.1  18.1  18.1  18.1 18.11 18.12 18.74 18.53
2029 18.28 18.22 18.22 18.14 18.11 18.11 18.11 18.11 18.11 18.12 18.76 18.55
2030 18.29 18.23 18.23 18.14 18.11 18.11 18.11 18.11 18.11 18.13 18.78 18.56
2031 18.29 18.23 18.23 18.15 18.12 18.12 18.12 18.12 18.12 18.13 18.81 18.58
2032  18.3 18.24 18.24 18.15 18.12 18.12 18.12 18.12 18.12 18.14 18.83 18.59
2033 18.31 18.25 18.25 18.16 18.13 18.13 18.13 18.13 18.13 18.14 18.85 18.61
2034 18.32 18.26 18.25 18.16 18.13 18.13 18.13 18.13 18.13 18.14 18.87 18.62
2035 18.33 18.26 18.26 18.16 18.13 18.13 18.13 18.13 18.13 18.15 18.89 18.64
2036 18.33 18.26 18.27 18.17 18.13 18.13 18.13 18.14 18.14 18.15 18.91 18.65
2037 18.34 18.27 18.27 18.17 18.14 18.14 18.14 18.14 18.14 18.15 18.93 18.67
2038 18.35 18.28 18.28 18.17 18.14 18.14 18.14 18.14 18.14 18.15 18.95 18.68
2039 18.36 18.28 18.28 18.18 18.14 18.14 18.14 18.14 18.14 18.16 18.97 18.69
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  98 MONTE CLARO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  2.45  2.36  2.35  2.13  2.08  2.08  2.08  2.08  2.08  2.11  2.93  2.79
2026  2.46  2.37  2.36  2.14  2.09  2.08  2.08  2.09  2.09  2.11  2.96  2.81
2027  2.48  2.39  2.37  2.14  2.09  2.09  2.09  2.09  2.09  2.11  2.99  2.83
2028  2.49  2.38  2.38  2.14  2.09  2.09  2.09  2.09  2.09  2.12  3.02  2.86
2029  2.51  2.41  2.39  2.15  2.09  2.09  2.09  2.09  2.09  2.12  3.04  2.88
2030  2.52  2.42   2.4  2.15   2.1   2.1   2.1   2.1   2.1  2.12  3.07   2.9
2031  2.53  2.43  2.41  2.16   2.1   2.1   2.1   2.1   2.1  2.13   3.1  2.93
2032  2.54  2.43  2.43  2.16   2.1   2.1   2.1   2.1   2.1  2.13  3.13  2.95
2033  2.56  2.45  2.44  2.17   2.1   2.1   2.1   2.1   2.1  2.13  3.16  2.98
2034  2.58  2.46  2.45  2.17  2.11  2.11  2.11  2.11  2.11  2.14  3.18     3
2035  2.59  2.48  2.46  2.17  2.11  2.11  2.11  2.11  2.11  2.14  3.21  3.02
2036   2.6  2.47  2.47  2.18  2.11  2.11  2.11  2.11  2.11  2.14  3.24  3.05
2037  2.62   2.5  2.48  2.18  2.11  2.11  2.11  2.11  2.11  2.15  3.27  3.07
2038  2.63  2.51  2.49  2.19  2.12  2.12  2.12  2.12  2.12  2.15   3.3  3.09
2039  2.64  2.52   2.5  2.19  2.12  2.12  2.12  2.12  2.12  2.15  3.32  3.11
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  99 14 DE JULHO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 10.27 10.27 10.26 10.25 10.24 10.24 10.24 10.24 10.24 10.24 10.27 10.28
2026 10.28 10.27 10.26 10.25 10.24 10.24 10.24 10.24 10.24 10.24 10.28 10.29
2027 10.28 10.28 10.26 10.25 10.24 10.24 10.24 10.24 10.24 10.24 10.28 10.29
2028 10.28 10.28 10.27 10.25 10.25 10.25 10.25 10.25 10.25 10.25 10.29 10.29
2029 10.29 10.28 10.27 10.26 10.25 10.25 10.25 10.25 10.25 10.25 10.29  10.3
2030 10.29 10.29 10.27 10.26 10.25 10.25 10.25 10.25 10.25 10.25 10.29  10.3
2031 10.29 10.29 10.28 10.26 10.25 10.25 10.25 10.25 10.25 10.25 10.29  10.3
2032  10.3 10.29 10.28 10.26 10.25 10.25 10.25 10.25 10.25 10.25  10.3 10.31
2033  10.3 10.29 10.28 10.26 10.26 10.26 10.26 10.26 10.26 10.26  10.3 10.31
2034  10.3  10.3 10.28 10.27 10.26 10.26 10.26 10.26 10.26 10.26  10.3 10.31
2035  10.3  10.3 10.28 10.27 10.26 10.26 10.26 10.26 10.26 10.26  10.3 10.31
2036 10.31  10.3 10.29 10.27 10.26 10.26 10.26 10.26 10.26 10.26 10.31 10.32
2037 10.31  10.3 10.29 10.27 10.26 10.26 10.26 10.26 10.26 10.26 10.31 10.32
2038 10.31 10.31 10.29 10.27 10.26 10.26 10.26 10.26 10.26 10.26 10.31 10.32
2039 10.31 10.31 10.29 10.27 10.26 10.26 10.26 10.26 10.26 10.26 10.31 10.32
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 100 ITAPIRANGA            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.49  0.49  0.48  0.47  0.47  0.47  0.47  0.48  0.48  0.48  0.51  0.52
2026   0.5   0.5  0.49  0.48  0.48  0.48  0.48  0.48  0.48  0.49  0.52  0.53
2027  0.51   0.5   0.5  0.49  0.49  0.49  0.49  0.49  0.49  0.49  0.53  0.54
2028  0.52  0.51  0.51   0.5   0.5   0.5   0.5   0.5   0.5   0.5  0.54  0.55
2029  0.53  0.52  0.52  0.51  0.51  0.51  0.51  0.51  0.51  0.51  0.55  0.56
2030  0.54  0.53  0.53  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.56  0.57
2031  0.55  0.54  0.54  0.53  0.53  0.53  0.53  0.53  0.53  0.53  0.57  0.58
2032  0.56  0.55  0.55  0.54  0.54  0.54  0.54  0.54  0.54  0.54  0.58  0.59
2033  0.57  0.56  0.56  0.55  0.55  0.55  0.55  0.55  0.55  0.55  0.59   0.6
2034  0.58  0.57  0.57  0.56  0.56  0.56  0.56  0.56  0.56  0.56   0.6  0.61
2035  0.59  0.58  0.58  0.57  0.57  0.57  0.57  0.57  0.57  0.57  0.61  0.62
2036   0.6  0.59  0.59  0.58  0.57  0.58  0.58  0.58  0.58  0.58  0.62  0.63
2037  0.62   0.6   0.6  0.58  0.58  0.58  0.59  0.59  0.59  0.59  0.63  0.64
2038  0.63  0.61  0.61  0.59  0.59  0.59   0.6   0.6   0.6   0.6  0.64  0.65
2039  0.64  0.62  0.62   0.6   0.6   0.6   0.6  0.61  0.61  0.61  0.65  0.66
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 101 SAO JOSE              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 11.09 10.99  7.16   0.6  0.48  0.48  0.48  0.59  0.57  0.63  3.55  7.82
2026 11.72 11.61  7.56  0.61  0.48  0.48  0.48   0.6  0.58  0.64  3.72  8.22
2027 12.35 12.24  7.95  0.61  0.48  0.48  0.48  0.61  0.59  0.65  3.87  8.42
2028 12.71 12.42  8.34  0.62  0.48  0.48  0.48  0.62  0.59  0.66  4.06  9.03
2029 13.61 13.49  8.74  0.63  0.48  0.48  0.48  0.62   0.6  0.67  4.23  9.43
2030 14.24 14.11  9.13  0.63  0.48  0.48  0.48  0.63  0.61  0.68  4.41  9.87
2031 14.92 14.79  9.55  0.64  0.49  0.49  0.49  0.64  0.61  0.69  4.57 10.06
2032 15.27 14.92  9.97  0.65  0.49  0.49  0.49  0.65  0.62   0.7  4.77 10.74
2033 16.28 16.13  10.4  0.66  0.49  0.49  0.49  0.66  0.63  0.71  4.96 11.18
2034 16.96  16.8 10.82  0.66  0.49  0.49  0.49  0.67  0.64  0.72  5.14 11.61
2035 17.64 17.48 11.24  0.67  0.49  0.49  0.49  0.67  0.65  0.73   5.3 11.76
2036 17.93 17.52 11.67  0.68  0.49  0.49  0.49  0.68  0.65  0.74   5.5 12.48
2037 18.99 18.82 12.09  0.68  0.49  0.49  0.49  0.69  0.66  0.75  5.69 12.92
2038 19.67  19.5 12.51  0.69   0.5   0.5   0.5   0.7  0.67  0.76  5.87 13.36
2039 20.35 20.17 12.94   0.7   0.5   0.5   0.5  0.71  0.68  0.77  6.03 13.45
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 102 PASSO S JOAO          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 21.01 21.06 18.05 18.04 18.04 25.54 33.84 40.85 61.35 46.24 36.73 27.19
2026 21.02 21.06 18.05 18.04 18.04 25.54 33.84 40.85 61.35 46.24 36.74  27.2
2027 21.02 21.06 18.05 18.04 18.04 25.54 33.84 40.85 61.35 46.24 36.74  27.2
2028 21.02 21.06 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.24 36.74 27.21
2029 21.03 21.06 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.24 36.75 27.21
2030 21.03 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.75 27.22
2031 21.03 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.75 27.23
2032 21.04 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.76 27.23
2033 21.04 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.76 27.24
2034 21.04 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.76 27.24
2035 21.05 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.77 27.25
2036 21.05 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.77 27.26
2037 21.05 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.78 27.26
2038 21.06 21.07 18.06 18.04 18.04 25.54 33.84 40.85 61.35 46.25 36.78 27.27
2039 21.06 21.08 18.06 18.04 18.04 25.54 33.84 40.85 61.36 46.25 36.78 27.27
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 103 FOZ CHAPECO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 75.34  75.3  75.3 75.26 75.25 75.25 75.25 75.25 75.25 75.25 75.32 75.37
2026 75.34  75.3  75.3 75.26 75.25 75.25 75.25 75.25 75.25 75.25 75.32 75.37
2027 75.35  75.3 75.31 75.26 75.25 75.25 75.25 75.25 75.25 75.25 75.33 75.38
2028 75.35 75.31 75.31 75.26 75.25 75.25 75.25 75.25 75.25 75.25 75.33 75.38
2029 75.35 75.31 75.31 75.27 75.25 75.25 75.25 75.25 75.25 75.26 75.33 75.39
2030 75.36 75.31 75.32 75.27 75.26 75.26 75.26 75.26 75.26 75.26 75.34 75.39
2031 75.36 75.32 75.32 75.27 75.26 75.26 75.26 75.26 75.26 75.26 75.34  75.4
2032 75.37 75.32 75.33 75.27 75.26 75.26 75.26 75.26 75.26 75.26 75.35 75.41
2033 75.38 75.33 75.33 75.28 75.27 75.27 75.27 75.27 75.27 75.27 75.36 75.42
2034 75.38 75.33 75.34 75.28 75.27 75.27 75.27 75.27 75.27 75.27 75.36 75.42
2035 75.39 75.34 75.34 75.29 75.28 75.28 75.28 75.28 75.28 75.28 75.37 75.43
2036  75.4 75.34 75.35 75.29 75.28 75.28 75.28 75.28 75.28 75.28 75.38 75.44
2037 75.41 75.35 75.36  75.3 75.28 75.28 75.29 75.29 75.29 75.29 75.38 75.45
2038 75.41 75.36 75.36  75.3 75.29 75.29 75.29 75.29 75.29 75.29 75.39 75.46
2039 75.42 75.37 75.37 75.31 75.29 75.29  75.3  75.3  75.3  75.3  75.4 75.46
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 110 ERNESTINA             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.15  0.16  0.15  0.14  0.13  0.13  0.13  0.13  0.13  0.14  0.14  0.14
2026  0.15  0.16  0.15  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14
2027  0.16  0.16  0.15  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14
2028  0.16  0.16  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14
2029  0.16  0.17  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15
2030  0.16  0.17  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15
2031  0.16  0.17  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15
2032  0.16  0.17  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15
2033  0.17  0.17  0.16  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15
2034  0.17  0.18  0.17  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15  0.15
2035  0.17  0.18  0.17  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15  0.15
2036  0.17  0.18  0.17  0.15  0.14  0.14  0.14  0.14  0.14  0.14  0.15  0.15
2037  0.17  0.18  0.17  0.15  0.14  0.14  0.14  0.14  0.14  0.15  0.15  0.15
2038  0.17  0.18  0.17  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15
2039  0.17  0.18  0.17  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.16
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 111 PASSO REAL            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  7.17  6.92   4.6  0.38  0.26  0.26  0.26  0.28  0.26  0.38   2.6   5.5
2026  7.52  7.23  4.79  0.39  0.25  0.25  0.25  0.28  0.26  0.39  2.72  5.77
2027  7.86  7.54  4.99  0.39  0.25  0.25  0.25  0.28  0.26  0.39  2.84  5.92
2028  8.04  7.58  5.19   0.4  0.25  0.25  0.25  0.28  0.26   0.4  2.98  6.32
2029  8.55  8.17  5.39   0.4  0.25  0.25  0.25  0.29  0.26  0.41  3.11   6.6
2030   8.9  8.48  5.59  0.41  0.25  0.25  0.25  0.29  0.26  0.41  3.24  6.89
2031  9.27  8.81  5.81  0.41  0.25  0.25  0.25  0.29  0.26  0.42  3.37  7.04
2032  9.45  8.83  6.02  0.42  0.25  0.25  0.25  0.29  0.26  0.43  3.52  7.48
2033 10.02  9.49  6.24  0.43  0.25  0.25  0.25  0.29  0.26  0.44  3.65  7.78
2034 10.39  9.83  6.45  0.44  0.25  0.25  0.25   0.3  0.26  0.45  3.79  8.07
2035 10.77 10.16  6.67  0.44  0.25  0.25  0.25   0.3  0.26  0.46  3.91   8.2
2036 10.91 10.13  6.88  0.45  0.25  0.25  0.25   0.3  0.26  0.47  4.07  8.66
2037 11.51 10.84   7.1  0.46  0.25  0.25  0.25   0.3  0.26  0.47   4.2  8.96
2038 11.88 11.17  7.32  0.46  0.25  0.25  0.25  0.31  0.26  0.48  4.34  9.25
2039 12.26 11.51  7.53  0.47  0.25  0.25  0.25  0.31  0.26  0.49  4.46  9.36
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 112 JACUI                 Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025     0     0     0     0     0     0     0     0     0     0     0     0
2026     0     0     0     0     0     0     0     0     0     0     0     0
2027     0     0     0     0     0     0     0     0     0     0     0     0
2028     0     0     0     0     0     0     0     0     0     0     0     0
2029     0     0     0     0     0     0     0     0     0     0     0     0
2030     0     0     0     0     0     0     0     0     0     0     0     0
2031     0     0     0     0     0     0     0     0     0     0     0     0
2032     0     0     0     0     0     0     0     0     0     0     0     0
2033     0     0     0     0     0     0     0     0     0     0     0     0
2034     0     0     0     0     0     0     0     0     0     0     0     0
2035     0     0     0     0     0     0     0     0     0     0     0     0
2036     0     0     0     0     0     0     0     0     0     0     0     0
2037     0     0     0     0     0     0     0     0     0     0     0     0
2038     0     0     0     0     0     0     0     0     0     0     0     0
2039     0     0     0     0     0     0     0     0     0     0     0     0
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 113 ITAUBA                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   3.1  3.34  2.13  0.08  0.04  0.04  0.04  0.04  0.04  0.07  0.66  1.74
2026  3.26  3.52  2.24  0.08  0.04  0.04  0.04  0.04  0.04  0.07   0.7  1.82
2027  3.42  3.69  2.35  0.08  0.04  0.04  0.04  0.04  0.04  0.07  0.72  1.84
2028   3.5  3.73  2.46  0.08  0.04  0.04  0.04  0.04  0.04  0.07  0.76     2
2029  3.75  4.05  2.57  0.09  0.04  0.04  0.04  0.04  0.04  0.07  0.79  2.09
2030  3.92  4.22  2.68  0.09  0.04  0.04  0.04  0.04  0.04  0.07  0.83  2.18
2031   4.1  4.41   2.8  0.09  0.04  0.04  0.04  0.04  0.04  0.07  0.86  2.19
2032  4.17  4.44  2.92  0.09  0.04  0.04  0.04  0.04  0.04  0.07   0.9  2.37
2033  4.45  4.79  3.04  0.09  0.04  0.04  0.04  0.04  0.04  0.07  0.93  2.46
2034  4.63  4.98  3.16  0.09  0.04  0.04  0.04  0.04  0.04  0.08  0.97  2.56
2035  4.81  5.17  3.28   0.1  0.04  0.04  0.04  0.04  0.04  0.08     1  2.56
2036  4.86  5.17   3.4   0.1  0.04  0.04  0.04  0.04  0.04  0.08  1.04  2.75
2037  5.16  5.55  3.52   0.1  0.04  0.04  0.04  0.04  0.04  0.08  1.08  2.84
2038  5.34  5.74  3.64   0.1  0.04  0.04  0.04  0.04  0.04  0.08  1.11  2.94
2039  5.52  5.93  3.76  0.11  0.04  0.04  0.04  0.04  0.04  0.08  1.14  2.93
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 114 D. FRANCISCA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   0.5  0.41   0.3  0.11   0.1   0.1   0.1  0.15   0.1  0.19  0.52   0.6
2026  0.53  0.43  0.31  0.11   0.1   0.1   0.1  0.15   0.1   0.2  0.55  0.63
2027  0.55  0.45  0.32  0.11   0.1   0.1   0.1  0.15   0.1  0.21  0.59  0.66
2028  0.57  0.46  0.34  0.11   0.1   0.1   0.1  0.16   0.1  0.22  0.62   0.7
2029   0.6  0.49  0.35  0.11   0.1   0.1   0.1  0.16   0.1  0.23  0.65  0.73
2030  0.63  0.52  0.36  0.11   0.1   0.1   0.1  0.17   0.1  0.23  0.69  0.77
2031  0.66  0.54  0.38  0.11   0.1   0.1   0.1  0.17   0.1  0.24  0.72   0.8
2032  0.68  0.54  0.39  0.11   0.1   0.1   0.1  0.18   0.1  0.25  0.76  0.84
2033  0.72  0.58   0.4  0.11   0.1   0.1   0.1  0.18   0.1  0.26   0.8  0.88
2034  0.75   0.6  0.42  0.11   0.1   0.1   0.1  0.19   0.1  0.27  0.83  0.91
2035  0.77  0.63  0.43  0.11   0.1   0.1   0.1  0.19   0.1  0.28  0.87  0.94
2036  0.79  0.63  0.45  0.11  0.09  0.09  0.09   0.2  0.09  0.29  0.91  0.99
2037  0.83  0.67  0.46  0.11  0.09  0.09  0.09   0.2  0.09   0.3  0.94  1.02
